region,rainfall_mm,temperature_c,humidity_pct,river_level_m,snow_melt_mm,prev_day_rain,risk_level,risk_label
Semey,30.173092741415815,-1.693669170833516,85.75413087519438,7.8152995785981565,36.153581802483444,21.371525589651945,3,Critical
Karaganda,32.967815643109056,3.287523014913953,84.73465369112249,1.7758656298196112,38.63354940640833,72.85319963071107,2,High
Aktau,24.867317880966773,25.70332661665268,90.75394204015817,7.236785479649264,35.74497670456569,34.853765289783226,3,Critical
Taldykorgan,105.38648009750307,-1.6647199053665656,76.00274182176835,6.3260249910491595,28.94888232770726,10.326895611396942,3,Critical
Kostanay,90.83989586066744,31.29886201271198,28.352330379846514,1.0735996662448481,0.730449855444143,59.383900538715544,1,Medium
Taraz,5.62757613494639,9.103734133836284,51.928015045897844,7.900468261256365,18.018774618158535,51.44834820942802,2,High
Aktau,32.240697843036884,-6.083246683555361,77.85195891717036,2.535244726542579,30.24197146812906,25.259472198722968,2,High
Aktobe,2.6621690436361956,26.708688957692637,42.42675686332167,1.2393719526680926,19.372564796126934,49.721497922723884,0,Low
Semey,59.779822397507154,6.807935736727444,74.99250913089901,6.719856755943196,43.173994745640655,17.588956509518148,3,Critical
Atyrau,57.1452836146817,13.692463736920146,21.959875861412186,5.800066502582749,15.440113767480767,35.58714874724237,2,High
Shymkent,99.76457880750014,-4.9463045014951375,44.490987270367455,5.129141044084256,14.676739622933022,71.95300177338602,2,High
Semey,36.933268772525935,-9.883719331975792,63.930426902173814,1.6698564777419986,13.299884654632898,10.682738652859953,0,Low
Kostanay,97.96628822556748,18.709334260698395,70.56718636049938,4.088720871919714,16.639043448039775,30.93571599899696,2,High
Kostanay,116.15685185277877,13.182882665017921,66.16325315695286,6.354170201654104,27.87024821570936,65.69139397762778,3,Critical
Taraz,10.608986803877588,16.709235610541622,75.82050208587435,2.777179536078802,35.35076471362954,77.55927195249426,1,Medium
Aktobe,95.01814073635595,25.718473267123237,20.487099859187126,2.8376737138628108,33.12839588693925,36.31409091374367,2,High
Karaganda,70.79470765651632,19.097266104028705,28.075295998201717,0.5235567953609159,40.38589099907398,40.55996961146779,2,High
Taraz,57.60551604221702,-2.1351950727680276,89.5155401823316,1.8068255123403465,44.295699774871245,45.77375694270158,2,High
Taraz,50.46429343980901,6.234763359976991,74.5398915272129,7.065542188413757,40.80395211716756,74.58785133069686,3,Critical
Shymkent,94.16019167331714,30.765099715449217,29.034531414880902,3.813098687282803,0.9472701687177287,68.65654327816239,2,High
Pavlodar,76.72336283690908,24.647511511325554,87.36595499188634,7.881758744258255,36.795897677599434,13.648089969731547,3,Critical
Aktobe,96.60536010232343,15.048667607152275,39.37849742596535,3.467809726803444,10.41997868091658,34.940625427766,1,Medium
Astana,108.37812704119516,1.504024901417253,58.260790735617874,5.863898410851809,6.646402135399132,37.1200342557141,2,High
Taraz,74.07164545167504,3.592722582565777,31.615721030772825,2.6143928217854686,31.924439239956776,63.127688931900536,3,Critical
Kyzylorda,117.65552701108534,22.938113041353553,76.80880451373653,3.228572308557001,15.987159770384746,48.23143060843482,2,High
Petropavl,72.97054194502623,28.30284173837469,73.34835368114142,1.9304449069317098,2.855858168522163,52.337636962321035,1,Medium
Pavlodar,76.3973185946739,20.21411012887765,36.8889976932909,3.1029677637454625,6.881486719918067,79.85599261324941,2,High
Astana,66.57787302506708,26.428848909579877,89.07206134856014,4.604281403154824,0.046470843498053194,5.996803477601045,2,High
Kyzylorda,10.920250926159634,24.49952608401827,52.10448193757698,7.938296607344371,45.161181367235365,17.84078588269864,2,High
Aktobe,87.1676439180274,-3.2633214419369025,43.401207285659346,5.481512848038393,1.2308991920619294,32.63167498972375,2,High
Almaty,65.69355682789339,9.077516581098589,32.186367157162834,1.9943446580623554,10.472788475475554,27.822592243910975,1,Medium
Kyzylorda,54.10925368993253,-3.1157289627146803,41.293441001242996,0.8372108119366335,20.813139034395366,1.731644907758687,1,Medium
Atyrau,109.25655340839276,0.585601316089317,21.76215369790536,1.4476736098588296,17.828566297540956,7.342208517694067,1,Medium
Pavlodar,35.75513418503406,29.116683109297362,66.66059939648925,4.719164009547855,45.586293845638785,54.47626331228609,3,Critical
Aktau,62.83227312180134,11.280138453493198,87.37845970751583,6.238702466125748,2.0144472867271057,70.34595706900485,3,Critical
Kyzylorda,83.7170245792156,14.09111458291974,63.91843595533135,7.5531440547556015,25.610735383852578,41.138160901278205,3,Critical
Oskemen,95.57661308086527,-1.9699315647502544,37.54191695391006,0.6186737899761561,34.0239731262187,43.135286361090635,2,High
Almaty,55.121616953540695,4.052230372195821,22.693534257109818,4.420701061714023,46.58489868405844,20.40747462659035,2,High
Kostanay,101.05096980224516,0.36107757925414674,37.17024586070423,4.031505171673826,31.01856260618605,61.43010909069691,3,Critical
Kostanay,92.2701289578477,-0.7216225966708105,53.289714245687385,5.42041266481778,40.187761800588135,60.14356698938051,3,Critical
Taldykorgan,7.948317342223903,18.708235699218655,80.76891429598372,4.696841408490065,4.18624689226742,47.06925513741253,1,Medium
Atyrau,5.503351968555954,1.559773144057166,35.02742820302193,5.652793629368604,19.29697554684637,17.013142920907427,1,Medium
Kyzylorda,74.49668213065095,18.44069687091883,77.58331626837489,5.435619385618928,18.697356723953373,7.761457458967156,2,High
Kyzylorda,41.68960898704971,-7.369542365115074,89.3546774681507,1.3775879364345964,44.31441082278588,5.139086068570071,2,High
Taldykorgan,25.0956949294217,-3.620152291280416,56.315747848668565,6.497884352140397,7.568558563163746,47.415685331430225,2,High
Petropavl,69.5579921366086,2.3543114300056427,85.71455933140746,1.4242443178724362,7.594308616831514,66.00282553142401,2,High
Petropavl,40.9875852547854,16.867111260306125,64.37258784280765,5.738979689068528,16.427907494289922,68.66643454247398,2,High
Taldykorgan,64.4716100056884,20.41285602893192,70.9672669664724,3.6210902573045503,2.723302368341879,37.08976594747598,1,Medium
Petropavl,55.214299078028645,9.922263505078721,62.102276827056215,4.353880509324484,9.122902032624502,62.74170394453735,2,High
Shymkent,70.17193271389844,10.060591155975303,57.053817340107344,7.274735107817829,48.26048192728676,75.75041570728189,3,Critical
Kyzylorda,48.03605866923376,22.60325831293781,38.77227534206795,7.174127948551149,21.40919699335864,22.013608999045438,2,High
Semey,83.7201088436318,-9.28805087054879,44.25552475688369,6.633922292412722,31.600960421121822,31.836827710460575,3,Critical
Karaganda,21.608072681915825,5.349051101339924,43.19760951548872,4.3261128534224245,36.30556296723185,74.51831940773445,2,High
Oskemen,83.58017594724947,26.84181757036547,65.06311447630517,6.021798576003748,18.348070350360025,27.058477385382787,3,Critical
Shymkent,49.39934572290338,17.14487345960175,29.596295441911195,4.34672791639107,7.361353720525848,73.1101032257437,2,High
Aktobe,104.91811258253006,5.175220973993916,93.3433352561868,7.02204561856083,10.329050811089042,78.48358898035725,3,Critical
Shymkent,61.828326583705305,30.748615654835326,77.65241162264905,3.5208187492467493,15.663323829030517,52.94485828595398,2,High
Semey,116.77324191241252,24.768022735222218,52.11565047305549,7.7767650831115755,31.80342101761128,65.35122316033346,3,Critical
Aktobe,72.23224746491522,1.9202951256530039,32.68993156211024,7.4924206867165815,19.91402745445272,59.96364513768682,3,Critical
Oskemen,26.86188790875847,19.03804268865726,90.55937357773087,6.062019645888391,0.34073489500640597,55.962740609241905,2,High
Semey,98.6148764213339,16.80878276850305,85.90224720809321,2.59561913132054,26.170359253373594,24.554485838498607,2,High
Astana,41.40991533868641,8.05345613175422,77.73772421737434,1.4874019159494378,46.0756695953709,4.567547032635497,1,Medium
Karaganda,41.71430573792202,6.513023564216031,41.72376379289939,6.910275875698981,40.60388055043395,27.44413860157205,3,Critical
Oskemen,3.816561778219816,5.460221364906678,52.19573099469351,1.7397671460347095,41.260568562981554,53.35487881631253,1,Medium
Kyzylorda,65.84583710488903,17.772010252804105,28.21986019619387,6.906955917480018,39.752900880306555,8.20233585822411,3,Critical
Petropavl,64.13082044790276,9.908447141630127,35.12316197820254,4.180737550342704,16.186541280521183,0.9534386382593674,2,High
Astana,42.71897811263833,27.433840096313993,82.64133098533863,3.549175878560782,38.2596916877196,11.175389808235092,2,High
Atyrau,107.3060715475111,20.132117726028284,77.2030975080547,7.273930841258219,7.15806789055965,57.25887411286362,3,Critical
Oskemen,15.44980779595727,-6.853077743075464,67.47886103807477,5.028882369052084,32.885807363797674,77.82349613251552,2,High
Atyrau,39.611941597218646,18.807570072267474,91.65813807409383,4.824605053472883,32.07842833424972,78.64517596918563,3,Critical
Aktobe,38.58993176160348,2.2016346425083153,66.66132142504364,4.6907445846829825,1.2784899544867334,39.51833193121503,1,Medium
Astana,11.07487034744953,16.676539624404022,57.35743999708886,3.2837713701464857,39.39850667954658,69.5481840793878,1,Medium
Karaganda,57.737447286755184,20.605936899655312,47.229659704461014,6.3923232764684546,45.16240525475653,58.94611646012032,3,Critical
Kyzylorda,82.53416605152997,0.3873135119305431,95.2358804588938,2.3959883301182976,13.370763923605383,40.08321895876827,2,High
Taldykorgan,61.398841625671345,10.558639019616589,26.61723692194828,7.541712200309563,40.61953620930755,45.820842636406944,3,Critical
Kyzylorda,18.837321925943247,-1.4353811731419484,94.47098976486467,7.2048890378522055,4.12029859309741,10.978171729349686,2,High
Semey,45.27431582904871,-7.644750589607126,86.13717279448147,3.0311024425617363,29.9983929130533,75.01291684932737,2,High
Kyzylorda,0.31140292603758724,7.031439056864109,30.394393962856103,5.970978273737478,24.28234326671386,28.154381658542142,1,Medium
